x,y
42,34
43,33
56,33
57,34
60,34
61,35
62,35
63,36
65,36
67,38
69,38
70,39
71,39
72,40
74,40
75,41
78,41
79,42
89,42
90,41
92,41
93,40
95,40
96,39
98,39
100,37
101,37
103,35
104,35
106,33
110,33
114,37
114,38
115,39
115,40
116,41
116,52
115,53
115,55
114,56
114,57
112,59
112,60
110,62
110,63
105,68
104,68
102,70
101,70
99,72
97,72
96,73
92,73
91,74
80,74
79,73
76,73
75,72
73,72
72,71
70,71
69,70
68,70
67,69
66,69
65,68
64,68
63,67
54,67
53,68
50,68
49,69
48,69
47,70
45,70
43,72
42,72
41,73
40,73
38,75
32,75
27,70
27,69
26,68
26,63
25,62
25,57
26,56
26,51
27,50
27,48
29,46
29,45
30,44
30,43
37,36
38,36
40,34
