x,y
65,87
64,88
63,88
62,89
61,89
60,90
59,90
58,91
56,91
54,93
52,93
51,94
50,94
49,95
48,95
46,97
44,97
43,98
42,98
41,99
40,99
39,100
38,100
37,101
36,101
35,102
34,102
33,103
32,103
31,104
30,104
29,105
28,105
27,106
26,106
24,108
22,108
21,109
20,109
19,110
18,110
17,111
16,111
16,113
17,113
18,114
19,114
20,115
22,115
24,117
25,117
26,118
27,118
28,119
30,119
31,120
32,120
34,122
36,122
37,123
38,123
39,124
40,124
41,125
42,125
43,126
44,126
45,127
46,127
47,128
48,128
49,129
50,129
51,130
53,130
54,131
55,131
56,132
57,132
58,133
59,133
60,134
61,134
62,135
64,135
66,137
70,137
71,136
72,136
73,135
74,135
75,134
76,134
77,133
78,133
79,132
80,132
81,131
82,131
83,130
84,130
85,129
86,129
87,128
88,128
89,127
90,127
91,126
92,126
93,125
94,125
95,124
96,124
97,123
98,123
99,122
100,122
101,121
102,121
103,120
104,120
105,119
106,119
107,118
109,118
110,117
111,117
112,116
113,116
114,115
115,115
116,114
117,114
118,113
119,113
119,110
118,110
117,109
116,109
115,108
113,108
112,107
111,107
110,106
109,106
108,105
107,105
106,104
105,104
104,103
103,103
102,102
101,102
100,101
99,101
98,100
97,100
96,99
94,99
92,97
90,97
89,96
88,96
87,95
86,95
85,94
84,94
83,93
82,93
81,92
80,92
79,91
78,91
77,90
76,90
75,89
73,89
71,87
