x,y
44,150
45,149
53,149
54,150
57,150
58,151
60,151
61,152
63,152
64,153
65,153
66,154
67,154
68,155
70,155
71,156
72,156
73,157
75,157
76,158
89,158
90,157
93,157
94,156
96,156
97,155
98,155
100,153
101,153
104,150
110,150
112,152
112,153
114,155
114,157
115,158
115,168
114,169
114,171
113,172
113,173
112,174
112,175
110,177
110,178
103,185
102,185
101,186
100,186
98,188
96,188
95,189
91,189
90,190
81,190
80,189
75,189
74,188
73,188
72,187
70,187
69,186
67,186
65,184
63,184
62,183
53,183
52,184
50,184
49,185
47,185
46,186
45,186
44,187
43,187
42,188
41,188
39,190
38,190
37,191
32,191
30,189
29,189
28,188
28,187
26,185
26,182
25,181
25,170
26,169
26,167
27,166
27,165
28,164
28,162
30,160
30,159
37,152
38,152
39,151
40,151
41,150
